time_s,target_FL,target_FR,target_RL,target_RR,actual_FL,actual_FR,actual_RL,actual_RR
0.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13.004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13.204,0.0000,0.3083,0.0000,0.3083,0.0000,0.0000,0.0000,0.0000
13.304,0.1504,0.3149,0.1504,0.3149,0.0000,0.0366,0.0000,0.0000
13.404,0.1516,0.3171,0.1516,0.3171,0.0183,0.1280,0.0000,0.0362
13.505,0.1520,0.3178,0.1520,0.3178,0.0545,0.2005,0.0183,0.1826
13.605,0.1521,0.3181,0.1521,0.3181,0.1098,0.2926,0.0726,0.2731
13.704,0.1521,0.3181,0.1521,0.3181,0.1464,0.3659,0.1096,0.3655
13.804,0.1521,0.3182,0.1521,0.3182,0.1824,0.3831,0.1644,0.4390
13.904,0.1521,0.3182,0.1521,0.3182,0.1828,0.4021,0.2010,0.3840
14.004,0.1521,0.3182,0.1521,0.3182,0.1637,0.3824,0.1828,0.3838
14.104,0.1521,0.3182,0.1521,0.3182,0.1633,0.3449,0.1828,0.3838
14.204,0.1521,0.3182,0.1521,0.3182,0.1456,0.2911,0.1821,0.3639
14.304,0.1521,0.3182,0.1521,0.3182,0.1271,0.2540,0.1453,0.3086
14.404,0.1521,0.3182,0.1521,0.3182,0.1279,0.2555,0.1274,0.2725
14.504,0.1521,0.3182,0.1521,0.3182,0.1278,0.2374,0.1274,0.2725
14.604,0.1521,0.3182,0.1521,0.3182,0.1097,0.2564,0.1274,0.2725
14.704,0.1521,0.3182,0.1521,0.3182,0.1283,0.2937,0.1217,0.2553
14.804,0.1521,0.3182,0.1521,0.3182,0.1461,0.2928,0.1221,0.2560
14.904,0.1521,0.3182,0.1521,0.3182,0.1464,0.3299,0.1405,0.2931
15.005,0.1521,0.3182,0.1521,0.3182,0.1642,0.3466,0.1405,0.3299
15.105,0.1521,0.3182,0.1521,0.3182,0.1645,0.3472,0.1650,0.3484
15.205,0.1521,0.3182,0.1521,0.3182,0.1456,0.3459,0.1646,0.3476
15.304,0.1521,0.3182,0.1521,0.3182,0.1459,0.3469,0.1642,0.3467
15.404,0.1521,0.3182,0.1521,0.3182,0.1463,0.3295,0.1642,0.3283
15.504,0.1521,0.3182,0.1521,0.3182,0.1460,0.3104,0.1458,0.3098
15.605,0.1521,0.3182,0.1521,0.3182,0.1467,0.3118,0.1463,0.3107
15.704,0.1521,0.3182,0.1521,0.3182,0.1463,0.2926,0.1467,0.2933
15.804,0.1521,0.3182,0.1521,0.3182,0.1467,0.2933,0.1464,0.2927
15.904,0.1521,0.3182,0.1521,0.3182,0.1467,0.2934,0.1464,0.3110
16.005,0.1521,0.3182,0.1521,0.3182,0.1466,0.3115,0.1463,0.3109
16.105,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1463,0.3292
16.205,0.1521,0.3182,0.1521,0.3182,0.1459,0.3284,0.1462,0.3290
16.305,0.1521,0.3182,0.1521,0.3182,0.1459,0.3283,0.1461,0.3106
16.405,0.1521,0.3182,0.1521,0.3182,0.1460,0.3285,0.1463,0.3292
16.505,0.1521,0.3182,0.1521,0.3182,0.1463,0.3291,0.1455,0.3094
16.605,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1457,0.3097
16.705,0.1521,0.3182,0.1521,0.3182,0.1456,0.3274,0.1461,0.3291
16.805,0.1521,0.3182,0.1521,0.3182,0.1452,0.3083,0.1451,0.3086
16.905,0.1521,0.3182,0.1521,0.3182,0.1452,0.3083,0.1460,0.3105
17.005,0.1521,0.3182,0.1521,0.3182,0.1630,0.3257,0.1456,0.3278
17.104,0.1521,0.3182,0.1521,0.3182,0.1641,0.3100,0.1456,0.3093
17.205,0.1521,0.3182,0.1521,0.3182,0.1648,0.3299,0.1648,0.3293
17.304,0.1521,0.3182,0.1521,0.3182,0.1648,0.3299,0.1646,0.3290
17.405,0.1521,0.3182,0.1521,0.3182,0.1466,0.3299,0.1649,0.3298
17.505,0.1521,0.3182,0.1521,0.3182,0.1463,0.3291,0.1649,0.3298
17.604,0.1521,0.3182,0.1521,0.3182,0.1459,0.3283,0.1649,0.3298
17.704,0.1521,0.3182,0.1521,0.3182,0.1463,0.3290,0.1644,0.3349
17.804,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1465,0.3357
17.904,0.1521,0.3182,0.1521,0.3182,0.1463,0.3292,0.1465,0.3358
18.004,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1465,0.3176
18.104,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1462,0.3290
18.204,0.1521,0.3182,0.1521,0.3182,0.1463,0.3289,0.1463,0.3106
18.304,0.1521,0.3182,0.1521,0.3182,0.1463,0.3106,0.1463,0.3107
18.404,0.1521,0.3182,0.1521,0.3182,0.1463,0.3289,0.1641,0.3281
18.504,0.1521,0.3182,0.1521,0.3182,0.1459,0.3282,0.1644,0.3106
18.604,0.1521,0.3182,0.1521,0.3182,0.1640,0.3283,0.1641,0.3283
18.704,0.1521,0.3182,0.1521,0.3182,0.1641,0.3283,0.1641,0.3283
18.804,0.1521,0.3182,0.1521,0.3182,0.1644,0.3291,0.1642,0.3378
18.904,0.1521,0.3182,0.1521,0.3182,0.1644,0.3291,0.1464,0.3386
19.004,0.1521,0.3182,0.1521,0.3182,0.1466,0.3117,0.1462,0.3381
19.104,0.1521,0.3182,0.1521,0.3182,0.1466,0.3117,0.1465,0.3204
19.204,0.1521,0.3182,0.1521,0.3182,0.1463,0.3108,0.1456,0.3094
19.304,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1460,0.2920
19.404,0.1521,0.3182,0.1521,0.3182,0.1459,0.3101,0.1460,0.2920
19.504,0.1521,0.3182,0.1521,0.3182,0.1444,0.3070,0.1457,0.3003
19.604,0.1521,0.3182,0.1521,0.3182,0.1451,0.2901,0.1463,0.3016
19.704,0.1521,0.3182,0.1521,0.3182,0.1444,0.3067,0.1463,0.3016
19.804,0.1521,0.3182,0.1521,0.3182,0.1449,0.3261,0.1466,0.3111
19.905,0.1521,0.3182,0.1521,0.3182,0.1465,0.3294,0.1463,0.3105
20.004,0.1521,0.3182,0.1521,0.3182,0.1458,0.3461,0.1468,0.3208
20.104,0.1521,0.3182,0.1521,0.3182,0.1465,0.3479,0.1453,0.3359
20.204,0.1521,0.3182,0.1521,0.3182,0.1461,0.3288,0.1458,0.3279
20.304,0.1521,0.3182,0.1521,0.3182,0.1461,0.3287,0.1457,0.3461
20.405,0.1521,0.3182,0.1521,0.3182,0.1463,0.3293,0.1462,0.3287
20.504,0.1521,0.3182,0.1521,0.3182,0.1460,0.3104,0.1463,0.3109
20.604,0.1521,0.3182,0.1521,0.3182,0.1465,0.3113,0.1463,0.3108
20.704,0.1521,0.3182,0.1521,0.3182,0.1462,0.3108,0.1463,0.2926
20.804,0.1521,0.3182,0.1521,0.3182,0.1460,0.2920,0.1461,0.3104
20.904,0.1521,0.3182,0.1521,0.3182,0.1463,0.2925,0.1461,0.3104
21.004,0.1521,0.3182,0.1521,0.3182,0.1459,0.3101,0.1463,0.3109
21.104,0.1521,0.3182,0.1521,0.3182,0.1462,0.3289,0.1463,0.3292
21.204,0.1521,0.3182,0.1521,0.3182,0.1463,0.3291,0.1463,0.3474
21.304,0.1521,0.3182,0.1521,0.3182,0.1463,0.3474,0.1640,0.3284
21.404,0.1521,0.3182,0.1521,0.3182,0.1459,0.3283,0.1640,0.3284
21.505,0.1521,0.3182,0.1521,0.3182,0.1459,0.3101,0.1640,0.3375
21.604,0.1521,0.3182,0.1521,0.3182,0.1459,0.3101,0.1636,0.3184
21.704,0.1521,0.3182,0.1521,0.3182,0.1459,0.2919,0.1636,0.3184
21.804,0.1521,0.3182,0.1521,0.3182,0.1463,0.2927,0.1633,0.2996
21.904,0.1521,0.3182,0.1521,0.3182,0.1463,0.3108,0.1633,0.2996
22.004,0.1521,0.3182,0.1521,0.3182,0.1459,0.3101,0.1455,0.3094
22.104,0.1521,0.3182,0.1521,0.3182,0.1452,0.3267,0.1463,0.3017
22.204,0.1521,0.3182,0.1521,0.3182,0.1456,0.3273,0.1467,0.3208
22.304,0.1521,0.3182,0.1521,0.3182,0.1459,0.3282,0.1467,0.3208
22.404,0.1521,0.3182,0.1521,0.3182,0.1459,0.3282,0.1467,0.3208
22.504,0.1521,0.3182,0.1521,0.3182,0.1466,0.3117,0.1468,0.3270
22.604,0.1521,0.3182,0.1521,0.3182,0.1459,0.3284,0.1468,0.3179
22.704,0.1521,0.3182,0.1521,0.3182,0.1460,0.3100,0.1464,0.3356
22.804,0.1521,0.3182,0.1521,0.3182,0.1463,0.3107,0.1460,0.3166
22.904,0.1521,0.3182,0.1521,0.3182,0.1645,0.3289,0.1463,0.3111
23.004,0.1521,0.3182,0.1521,0.3182,0.1466,0.3116,0.1463,0.3293
23.105,0.1521,0.3182,0.1521,0.3182,0.1462,0.3108,0.1454,0.3091
23.204,0.1521,0.3182,0.1521,0.3182,0.1645,0.3291,0.1466,0.3301
23.304,0.1521,0.3182,0.1521,0.3182,0.1280,0.3108,0.1467,0.3303
23.404,0.1521,0.3182,0.1521,0.3182,0.1459,0.3101,0.1460,0.3106
23.504,0.1521,0.3182,0.1521,0.3182,0.1632,0.3266,0.1468,0.3123
23.604,0.1521,0.3182,0.1521,0.3182,0.1269,0.3098,0.1457,0.2914
23.704,0.1521,0.3182,0.1521,0.3182,0.1456,0.3106,0.1459,0.3101
23.804,0.1521,0.3182,0.1521,0.3182,0.1456,0.3106,0.1466,0.3117
23.905,0.1521,0.3182,0.1521,0.3182,0.1462,0.3116,0.1466,0.3117
24.004,0.1521,0.3182,0.1521,0.3182,0.1644,0.3292,0.1466,0.3117
24.104,0.1521,0.3182,0.1521,0.3182,0.1641,0.3285,0.1524,0.3232
24.204,0.1521,0.3182,0.1521,0.3182,0.1644,0.3475,0.1524,0.3413
24.305,0.1521,0.3182,0.1521,0.3182,0.1463,0.3293,0.1510,0.3202
24.405,0.1521,0.3182,0.1521,0.3182,0.1452,0.3266,0.1513,0.3392
24.505,0.1521,0.3182,0.1521,0.3182,0.1452,0.3266,0.1513,0.3392
24.605,0.1521,0.3182,0.1521,0.3182,0.1456,0.3091,0.1450,0.3266
24.705,0.1521,0.3182,0.1521,0.3182,0.1456,0.3090,0.1450,0.3266
24.804,0.1521,0.3182,0.1521,0.3182,0.1463,0.3110,0.1459,0.3196
24.905,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1463,0.3204
25.004,0.1521,0.3182,0.1521,0.3182,0.1459,0.3102,0.1456,0.3005
25.105,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1462,0.3017
25.205,0.1521,0.3182,0.1521,0.3182,0.1462,0.3108,0.1453,0.3087
25.305,0.1521,0.3182,0.1521,0.3182,0.1459,0.3101,0.1459,0.3100
25.404,0.1521,0.3182,0.1521,0.3182,0.1463,0.3293,0.1456,0.3272
25.505,0.1521,0.3182,0.1521,0.3182,0.1463,0.3294,0.1459,0.3279
25.604,0.1521,0.3182,0.1521,0.3182,0.1463,0.3294,0.1467,0.3298
25.704,0.1521,0.3182,0.1521,0.3182,0.1466,0.3300,0.1467,0.3299
25.804,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1470,0.3125
25.905,0.1521,0.3182,0.1521,0.3182,0.1463,0.3110,0.1466,0.3303
26.005,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1459,0.3103
26.104,0.1521,0.3182,0.1521,0.3182,0.1453,0.3089,0.1459,0.3102
26.204,0.1521,0.3182,0.1521,0.3182,0.1460,0.3102,0.1459,0.3102
26.304,0.1521,0.3182,0.1521,0.3182,0.1464,0.3295,0.1465,0.3207
26.404,0.1521,0.3182,0.1521,0.3182,0.1463,0.3111,0.1457,0.3007
26.504,0.1521,0.3182,0.1521,0.3182,0.1474,0.3133,0.1461,0.3198
26.604,0.1521,0.3182,0.1521,0.3182,0.1463,0.3292,0.1461,0.3198
26.704,0.1521,0.3182,0.1521,0.3182,0.1455,0.3091,0.2339,0.2416
26.804,0.1521,0.3182,0.1521,0.3182,0.1452,0.3086,0.2339,0.2598
26.904,0.1521,0.3182,0.1521,0.3182,0.1452,0.3268,0.2346,0.2429
27.004,0.1521,0.3182,0.1521,0.3182,0.1452,0.3267,0.2320,0.2556
27.104,0.1521,0.3182,0.1521,0.3182,0.1460,0.3283,0.1463,0.3288
27.204,0.1521,0.3182,0.1521,0.3182,0.1646,0.3473,0.1463,0.3288
27.304,0.1521,0.3182,0.1521,0.3182,0.1645,0.3471,0.1558,0.3297
27.404,0.1521,0.3182,0.1521,0.3182,0.1649,0.3481,0.1558,0.3297
27.504,0.1521,0.3182,0.1521,0.3182,0.1645,0.3472,0.1549,0.3461
27.604,0.1521,0.3182,0.1521,0.3182,0.1646,0.3475,0.1556,0.3294
27.705,0.1521,0.3182,0.1521,0.3182,0.1463,0.3292,0.1560,0.3486
27.804,0.1521,0.3182,0.1521,0.3182,0.1460,0.3102,0.1560,0.3486
27.904,0.1521,0.3182,0.1521,0.3182,0.1459,0.3281,0.1467,0.3301
28.004,0.1521,0.3182,0.1521,0.3182,0.1276,0.3099,0.1468,0.3121
28.104,0.1521,0.3182,0.1521,0.3182,0.1463,0.3107,0.1464,0.3114
28.204,0.1521,0.3182,0.1521,0.3182,0.1463,0.3109,0.1464,0.3114
28.304,0.1246,0.2531,0.1246,0.2531,0.1465,0.2930,0.1463,0.3110
28.404,0.0000,0.0924,0.0000,0.0924,0.0366,0.2927,0.1459,0.3103
28.504,0.0000,0.0000,0.0000,0.0000,0.0369,0.0739,0.1459,0.3103
28.604,0.0000,0.0000,0.0000,0.0000,0.0179,0.0717,0.1459,0.3103
28.704,0.0000,0.0000,0.0000,0.0000,0.0373,0.0373,0.1459,0.3103
28.804,0.0000,0.0000,0.0000,0.0000,0.0180,0.0359,0.0275,0.0596
28.904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,0.0181,0.0362
29.004,0.0000,0.0000,0.0000,0.0000,0.0183,0.0183,0.0183,0.0183
29.104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29.204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29.304,0.0000,0.0000,0.0000,0.0000,0.0183,0.0000,0.0000,0.0000
29.404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29.504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29.604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29.704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
